T_outdoor_dry,Single_setpoint,T_outdoor_wet,T_waterMains,T_sky,People_count,Diffuse_solar_radiation,Direct_solar_radiation,Wind_speed,Relative_humidity
-6.1,21.0,-8.331368587702729,6.30222222222222,-25.286017468759184,1.0,0.0,0.0,6.2,49.0
-6.1,21.0,-8.30882911402495,6.30222222222222,-25.286017468759184,1.0,0.0,0.0,5.95,49.5
-6.1,21.0,-8.286303693847946,6.30222222222222,-25.286017468759184,1.0,0.0,0.0,5.7,50.0
-6.249999999999999,21.0,-8.393801403279785,6.30222222222222,-25.35843938519037,1.0,0.0,0.0,5.575,50.5
-6.4,21.0,-8.501852189705211,6.30222222222222,-25.430924857509662,1.0,0.0,0.0,5.45,51.0
-6.550000000000001,21.0,-8.61044816512867,6.30222222222222,-25.50347401601184,1.0,0.0,0.0,5.325,51.5
-6.7,21.0,-8.719585375578271,6.30222222222222,-25.576086991411813,1.0,0.0,0.0,5.2,52.0
-6.7,21.0,-8.697984339239397,6.30222222222222,-25.576086991411813,1.0,0.0,0.0,5.050000000000001,52.5
-6.7,21.0,-8.676395906365522,6.30222222222222,-25.576086991411813,1.0,0.0,0.0,4.9,53.0
-6.7,21.0,-8.654818371528881,6.30222222222222,-25.576086991411813,1.0,0.0,0.0,4.75,53.5
-6.7,21.0,-8.633255408910271,6.30222222222222,-25.576086991411813,1.0,0.0,0.0,4.6,54.0
-6.7,21.0,-8.568301903921581,6.30222222222222,-25.50347401601184,0.868852459016393,0.0,0.0,4.475,55.5
-6.7,20.5,-8.503479599618188,6.30222222222222,-25.430924857509662,0.868852459016393,17.0,264.0,4.35,57.0
-6.7,20.5,-8.43878697835145,6.30222222222222,-25.35843938519037,0.868852459016393,23.5,336.75,4.225,58.5
-6.7,20.5,-8.374227061961959,6.30222222222222,-25.286017468759184,0.868852459016393,30.0,409.5,4.1,60.0
-6.125,20.5,-7.935968227011912,6.30222222222222,-24.42186496924782,0.409836065573771,36.5,482.25,4.225,58.25
-5.550000000000001,20.5,-7.504596468463889,6.30222222222222,-23.56662667270851,0.409836065573771,43.0,555.0,4.35,56.5
-4.9750000000000005,20.5,-7.080319403766266,6.30222222222222,-22.72009092481335,0.409836065573771,48.25,600.5,4.475,54.75
-4.4,20.5,-6.663344559172739,6.30222222222222,-21.882053862746943,0.409836065573771,53.5,646.0,4.6,53.0
-4.275,20.5,-6.617420387140617,6.30222222222222,-21.812594852343352,0.245901639344262,58.75,691.5,5.25,51.75
-4.15,20.5,-6.572622115135726,6.30222222222222,-21.743193380826312,0.245901639344262,64.0,737.0,5.9,50.5
-4.025,20.5,-6.528961231218955,6.30222222222222,-21.6738493371015,0.245901639344262,77.5,718.0,6.550000000000001,49.25
-3.9,20.5,-6.48645520195073,6.30222222222222,-21.60456261041133,0.245901639344262,91.0,699.0,7.2,48.0
-3.75,20.5,-6.384775622676899,6.30222222222222,-21.190039747647603,0.245901639344262,104.5,680.0,7.2,47.5
-3.6,20.5,-6.283686399355572,6.30222222222222,-20.777552756643928,0.245901639344262,118.0,661.0,7.2,47.0
-3.45,20.5,-6.183193787847191,6.30222222222222,-20.367078458312022,0.245901639344262,119.5,667.5,7.2,46.5
-3.3,20.5,-6.08330347305248,6.30222222222222,-19.95859408558755,0.245901639344262,121.0,674.0,7.2,46.0
-3.0249999999999995,20.5,-5.83751840724592,6.30222222222222,-19.687365623982856,0.245901639344262,122.5,680.5,6.7,46.25
-2.75,20.0,-5.591613680249542,6.30222222222222,-19.417005096340205,0.245901639344262,124.0,687.0,6.2,46.5
-2.475,20.0,-5.345581160829156,6.30222222222222,-19.147506049585477,0.245901639344262,120.25,723.5,5.7,46.75
-2.2,20.0,-5.099407667751961,6.30222222222222,-18.878862105720486,0.245901639344262,116.5,760.0,5.2,47.0
-2.075,20.0,-5.052403475158833,6.30222222222222,-18.744858824483487,0.245901639344262,112.75,796.5,5.7,46.0
-1.95,20.0,-5.006433839527702,6.30222222222222,-18.61106696063706,0.245901639344262,109.0,833.0,6.2,45.0
-1.825,20.0,-4.961509591266441,6.30222222222222,-18.47748573752233,0.245901639344262,119.25,811.25,6.7,44.0
-1.7,20.0,-4.917643226438523,6.30222222222222,-18.344114382954416,0.245901639344262,129.5,789.5,7.2,43.0
-1.5499999999999998,20.0,-4.8243031171753845,6.30222222222222,-18.077998212879976,0.245901639344262,139.75,767.75,6.95,42.5
-1.4,20.0,-4.731632666740762,6.30222222222222,-17.812712361092508,0.245901639344262,150.0,746.0,6.7,42.0
-1.25,20.0,-4.639635258329594,6.30222222222222,-17.548250807647207,0.245901639344262,157.25,625.25,6.45,41.5
-1.1,20.0,-4.548317638015963,6.30222222222222,-17.284607600902348,0.245901639344262,164.5,504.5,6.2,41.0
-1.1,20.0,-4.548317638015963,6.30222222222222,-17.021776856466886,0.245901639344262,171.75,383.75,6.325,41.0
-1.1,20.0,-4.548317638015963,6.30222222222222,-16.759752756168382,0.245901639344262,179.0,263.0,6.45,41.0
-1.1,20.0,-4.548317638015963,6.30222222222222,-16.498529547041073,0.245901639344262,168.0,262.5,6.575,41.0
-1.1,20.0,-4.548317638015963,6.30222222222222,-16.238101540333275,0.245901639344262,157.0,262.0,6.7,41.0
-0.8250000000000001,20.0,-4.371184918310671,6.30222222222222,-15.848938246060072,0.245901639344262,146.0,261.5,6.575,40.25
-0.55,20.0,-4.195968904289159,6.30222222222222,-15.461532790110311,0.245901639344262,135.0,261.0,6.45,39.5
-0.275,20.0,-4.022692800302175,6.30222222222222,-15.075866756427333,0.245901639344262,111.0,312.5,6.325,38.75
0.0,20.0,-3.851386567805482,6.30222222222222,-14.691922030337082,0.245901639344262,87.0,364.0,6.2,38.0
-0.275,20.0,-3.990173275765656,6.30222222222222,-15.913676221180651,0.295081967213115,63.0,415.5,6.075,39.25
-0.55,20.0,-4.132077430692599,6.30222222222222,-17.15309103607177,0.295081967213115,39.0,467.0,5.95,40.5
-0.8250000000000001,20.0,-4.277039775416409,6.30222222222222,-18.41077387475775,0.295081967213115,32.25,352.0,5.825,41.75
-1.1,20.0,-4.425008854114709,6.30222222222222,-19.687365623982856,0.295081967213115,25.5,237.0,5.7,43.0
-1.525,20.0,-4.685316865382938,6.30222222222222,-19.28214828822232,0.540983606557377,18.75,122.0,5.050000000000001,44.5
-1.95,20.5,-4.951065833522043,6.30222222222222,-18.878862105720486,0.540983606557377,0.0,0.0,4.4,46.0
-2.375,20.5,-5.222129636135108,6.30222222222222,-18.47748573752233,0.540983606557377,0.0,0.0,3.75,47.5
-2.8,20.5,-5.498385104181244,6.30222222222222,-18.077998212879976,0.540983606557377,0.0,0.0,3.1,49.0
-2.8,20.5,-5.525965978800209,6.30222222222222,-18.277507166282504,0.885245901639344,0.0,0.0,2.975,48.5
-2.8,20.5,-5.553569015078572,6.30222222222222,-18.47748573752233,0.885245901639344,0.0,0.0,2.85,48.0
-2.8,20.5,-5.5811941154087,6.30222222222222,-18.677936514032893,0.885245901639344,0.0,0.0,2.725,47.5
