k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
33,0.5351780418914766,0.36595337054696603,4.822875518869076,1.956513342571155,7.680520273878674,19.01133206203694,17.00001148851301,19.00000467210045,19.00107038756476,0.45123056609037204
34,0.5187717907445043,0.3482399611010056,4.750428927821128,1.937921827885599,7.555362507552237,19.01608526363026,16.99999137213906,19.00000309531634,19.00098990237898,0.4438775473186939
35,0.4853014548421153,0.3226017735909296,4.661200804249399,1.9185211416217138,7.387625174304157,19.01956152555457,16.99998633396405,19.00000180441614,19.00092123871084,0.4340229789903692
36,0.4496740897582043,0.29558793680443607,4.557956444266024,1.89798334878184,7.201201819610504,19.02072559844085,16.99998631719942,19.00000133241394,19.00085424167722,0.4230706069021171
37,0.40652507853013287,0.2640379692870775,4.427454839895592,1.8572974793612158,6.955315367074018,19.02308199556813,16.99998728524668,19.00000124012849,19.00078629449958,0.4086247778155985
38,0.36212149529546256,0.2258954627992805,4.28200464237281,1.813241519986586,6.683263120454138,19.0242355111716,16.9999895452216,19.00000074857957,19.00086642012406,0.3926417083266806
39,0.3493679122276837,0.2087347278938832,4.134417275200442,1.7711921951930711,6.463712110515081,19.02567795611936,16.99999187042532,19.00000064911526,19.00091476382591,0.37974308649276095
40,0.38208526378815827,0.2402458354486926,3.988015368306973,1.730053527804652,6.340399995348476,19.02504024695006,16.99999590936473,19.00000096675948,19.00101136736225,0.37249849972672294
41,0.277045422314918,0.1277436776984667,3.870272255960497,1.722601286913762,5.9976626428876445,19.02769048770544,17.00000308779464,19.00000140134566,19.00101679001681,0.2174152708046771
42,0.27930150431120543,0.1250804708191164,3.769040844247152,1.7142242147483409,5.8876470341258145,19.02892161717239,17.00000277057405,19.00000125674156,19.00104347782475,0.21342720498706075
43,0.3579833811946763,0.2047341529915779,3.67586385766913,1.705246290611547,5.943827682466932,19.02956435281288,17.00000153144701,19.00000097441362,19.00103488595984,0.21546375348942626
44,0.3216568422457113,0.16818300357547092,3.585413504999313,1.695902486686071,5.771155837506567,19.03069755214617,17.00000966332032,19.00000079926165,19.00103734667817,0.20920439910961303
45,0.251650411580206,0.09706510728614065,3.476162895839284,1.6532409232005159,5.478119337906147,19.0318138337702,17.00000837837027,19.00000068142217,19.00103663015747,0.19858182599909782
46,0.21016137884004,0.06712840658606967,3.362019808714882,1.6276623007937019,5.266971894934693,19.0324405160883,17.01977114042149,19.00000050667529,19.00109129926939,0.19092773119138262
47,0.1735491993492131,0.0732214151362906,3.25673812974916,1.6059268216372942,5.109435565871958,19.0341772355355,17.10551764277907,19.00000609675597,19.00110448998997,0.18521703926285846
48,0.154926655242272,0.01823360147394115,3.162101893009588,1.585683782554014,4.920945932279815,19.03311092926666,17.03949405416363,19.00003825983589,19.00114906795664,0.17838429004514328
49,0.1292569996937753,0.02130547212417824,3.051925189789752,1.52898200972224,4.731469671329945,19.03310818768763,17.01469597791466,19.00007156823309,19.00118401983084,0.1715157755857105
50,0.1054497811158446,0.0486232115273083,2.9425013150460533,1.4907973417170002,4.587371649406206,19.03709499695611,17.00550017141761,19.00021527407818,19.00097790869232,0.16629222229097496
51,0.07966067792600844,0.0705622010477301,2.8352716006063368,1.455921722164363,4.441416201744438,19.03875123084739,17.00203123844719,19.0003576440338,19.0008503111385,0.16100133731323588
52,0.21793113223641028,0.02818105534764114,2.731650490065972,1.423106152800581,4.400868830450604,19.30992422401172,17.10405317401354,19.0005282201563,19.00069846121543,0.15953149510383438
53,0.033216657513688186,0.13066356031513082,2.641338788989729,1.4054180271054282,4.210637033923976,19.11895470814359,17.03842662582333,19.00065417593709,19.00055493906163,0.15263559247974412
54,0.0937297110079837,0.1253445631515919,2.557080061259557,1.381243666275579,4.157398001694712,19.18437082859525,17.01396656606973,19.00099367297953,19.00031986963275,0.1507056775614333
