k,l,r_pri,r_dual,t_local,t_comm,t_encrypt,t_total
22,0,0.0,0.0,0.11933104100171477,4.1584018617868423e-05,0.0,0.11942808399908245
22,1,1.9833106270843857,0.0,0.08934450102970004,0.00010216701775789261,0.0,0.089550957956817
22,2,0.0,0.0,0.08662341703893617,3.833294613286853e-05,0.0,0.0867335419752635
23,0,0.0,0.0,0.07185483403736725,3.954197745770216e-05,0.0,0.07195829198462889
23,1,0.0,0.0,0.07990654197055846,4.57499991171062e-05,0.0,0.08003508299589157
24,0,0.0,0.0,0.07869533298071474,4.6124972868710756e-05,0.0,0.07880466600181535
24,1,1.209810133968647,0.0,0.08062066702404991,3.849901258945465e-05,0.0,0.08073829201748595
24,2,0.0,0.0,0.08634391793748364,4.437397001311183e-05,0.0,0.0864644160028547
25,0,0.0,0.0,0.07990658399648964,3.866699989885092e-05,0.0,0.07998587499605492
25,1,56.4168760042558,0.0,0.07876383309485391,0.00018704100511968136,0.0,0.07907795801293105
25,2,131.01759869450947,0.0,0.12374437495600432,5.3916010074317455e-05,0.0,0.12391295901034027
25,3,99.12029446292891,0.0,0.0690937100443989,4.0834012906998396e-05,0.0,0.06921362498542294
25,4,58.32888688994514,0.0,0.08840579102979973,5.291705019772053e-05,0.0,0.08856604102766141
25,5,21.154351853374934,0.0,0.06290345801971853,3.895797999575734e-05,0.0,0.06302520795725286
25,6,21.1521862964438,0.0,0.06833008409012109,5.241704639047384e-05,0.0,0.06847141595790163
25,7,22.308741344978728,0.0,0.08621404098812491,4.645896842703223e-05,0.0,0.08637204195838422
25,8,22.30690331745715,0.0,0.07427708199247718,4.3583044316619635e-05,0.0,0.07440362498164177
25,9,22.664640554723753,0.0,0.2128558350377716,4.212500061839819e-05,0.0,0.21298991702497005
25,10,18.60297663448408,0.0,0.09159591695060953,3.9832957554608583e-05,0.0,0.09170508297393098
25,11,13.438759416479584,0.0,0.059843376046046615,3.787496825680137e-05,0.0,0.05994312500115484
25,12,13.437219478393274,0.0,0.07604374998481944,4.095799522474408e-05,0.0,0.07615612499648705
25,13,13.435908110973287,0.0,0.07398091611685231,3.720802487805486e-05,0.0,0.07408450002549216
25,14,13.434792063707572,0.0,0.08355283306445926,3.937393194064498e-05,0.0,0.08365920797223225
25,15,13.433843173031761,0.0,0.07546195801114663,3.825000021606684e-05,0.0,0.07557354198070243
25,16,13.433036717598107,0.0,0.0646555409184657,3.858399577438831e-05,0.0,0.0647712919744663
25,17,13.432351941874547,0.0,0.0628093330306001,3.8624973967671394e-05,0.0,0.06290987500688061
25,18,6.875346562199841,0.0,0.7493452489143237,4.0584011003375053e-05,0.0,0.749469832982868
25,19,39.92282358796531,0.0,0.09119808301329613,5.500100087374449e-05,0.0,0.09134754200931638
25,20,1.0463296064363643,0.0,0.09511187404859811,5.4333999287337065e-05,0.0,0.0952670419937931
25,21,0.8294691039342403,0.0,0.07109645899618044,4.9083027988672256e-05,0.0,0.07124170899624005
25,22,0.0,0.0,0.09499075001804158,4.574900958687067e-05,0.0,0.09511325001949444
26,0,0.0,0.0,0.08200579200638458,4.0790997445583344e-05,0.0,0.08209437498589978
26,1,0.0,0.0,0.058385749987792224,3.9458973333239555e-05,0.0,0.05849654204212129
27,0,0.0,0.0,0.08598904201062396,4.395801806822419e-05,0.0,0.08607924997340888
27,1,0.0,0.0,0.08172833302523941,4.33750101365149e-05,0.0,0.08185824996326119
28,0,0.0,0.0,0.08876487403176725,5.616701673716307e-05,0.0,0.08888629201101139
28,1,34.54617440843144,0.0,0.07985891803400591,3.84590239264071e-05,0.0,0.07996895798714831
28,2,0.0,0.0,0.07032520812936127,4.716700641438365e-05,0.0,0.07047516602324322
29,0,0.0,0.0,0.061278999026399106,4.0793034713715315e-05,0.0,0.061373959004413337
29,1,0.0,0.0,0.06171566597186029,4.433398135006428e-05,0.0,0.061840582988224924
30,0,0.0,0.0,0.0641831670072861,4.429102409631014e-05,0.0,0.06427212501876056
30,1,0.0,0.0,0.07487558299908414,7.649901090189815e-05,0.0,0.07505562499864027
31,0,0.0,0.0,0.06620741600636393,3.779196413233876e-05,0.0,0.06629829102894291
31,1,31.626457093939493,0.0,0.07030366791877896,4.604208515956998e-05,0.0,0.07044020801549777
31,2,170.4534398081739,0.0,0.11329166602808982,3.887602360919118e-05,0.0,0.11342100001638755
31,3,122.02645300374576,0.0,0.07601358502870426,4.454102599993348e-05,0.0,0.0761373330024071
31,4,56.03464368037015,0.0,0.09803654201095924,7.391697727143764e-05,0.0,0.09822045802138746
31,5,22.044068252828694,0.0,0.912781624996569,4.816707223653793e-05,0.0,0.9129251670092344
31,6,23.786044421402515,0.0,0.4440936659811996,0.0001277500414289534,0.0,0.44435191596858203
31,7,24.23205663071476,0.0,0.7569764159852639,4.0708924643695354e-05,0.0,0.7571178749785759
