k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
44,0.7124022615077102,0.8154668343489347,3.435276988778955,1.542232317474693,6.505378402110293,22.89971767794081,21.7657292925786,19.00000069855103,19.00103570718493,0.2358199670764981
45,0.5947903818566697,0.6965253868693645,3.341078031318827,1.510385778486277,6.1427795785311385,22.93585286087593,21.9041867664011,19.00000058968765,19.00103694441874,0.22267575972175377
46,0.5407110988712369,0.549922740508059,3.240189091917495,1.494143680909983,5.824966612206773,22.95671153533263,21.88390350968889,19.00003438937042,19.00104231129589,0.21115503969249552
47,0.4703965777022821,0.4114485329342167,3.146387441079297,1.480775222400611,5.509007774116407,22.93408126125336,21.73743125939674,19.00004870023863,19.00107610750874,0.19970153181171973
48,0.46296604358466104,0.3650616335892511,3.061791874951074,1.467768457508602,5.357588009633588,22.94089400062607,21.61057076525251,19.00008978951229,19.00111614753156,0.19421256534921755
49,0.43142486547170555,0.4922319058640236,2.960431983425703,1.417716949992206,5.301805704753638,22.94858044141909,21.82579738280524,19.0001202914999,19.00115267491422,0.1921904567973194
50,0.41341637820259214,0.3224260110037102,2.858801048062503,1.3855558821719531,4.980199319440759,22.96802076263647,21.76527734256767,19.00025498783933,19.00099900393354,0.1805322253297275
51,0.3699752485540019,0.30254039740886457,2.7585547727792283,1.355869933052825,4.78694035179492,22.95306845031754,21.68220310176767,19.00039480980374,19.00084989191264,0.17352658775256583
52,0.3660878789249498,0.26094329383087933,2.661132530972245,1.3279726554186808,4.616136359146755,22.97636789935053,21.60858560511124,19.0005403345186,19.000703610411,0.16733494301906987
53,0.3378750536230214,0.33918891348210584,2.5766592034610682,1.314585925216539,4.568309095782735,22.98519954032756,21.74785611493347,19.00077058671847,19.00055714622742,0.1656012047221241
54,0.3144932192066184,0.3072554341877693,2.500137331404931,1.294492440368474,4.416378425167792,22.98088230773565,21.85095088523527,19.0011120991189,19.00036120841917,0.16009371791233246
55,0.2657549126738658,0.1931679776312388,2.435255234884433,1.275854377506897,4.170032502696435,22.91956017745242,21.72404127103278,19.00140613229694,19.00014096166164,0.15116367822274573
56,0.30142439337139765,0.2391072835352798,2.3772667258919182,1.25775878772491,4.175557190523506,22.96407288745032,21.72851708698275,19.00169445724897,19.00000688430407,0.15136394815647708
57,0.286640647315103,0.2989044537148815,2.346338070629848,1.262901662881573,4.194784834541405,22.98017196958606,21.86712312650729,19.00191578043345,19.00000017348374,0.15206095025212593
58,0.2166156329507028,0.034781274197362086,2.330472777580726,1.27252240277383,3.854392087502621,22.85132532212496,21.49488953457891,19.00183192855978,18.99999983703894,0.13972171317197
59,0.22220557052370382,0.2812691474362759,2.334417832740125,1.28557634302336,4.123468893723465,22.7440230422464,21.60677767113307,19.00188676222213,18.99999982009167,0.1494757473974756
60,0.2850030943326049,0.2412668658343187,2.354280801619535,1.3003431883308731,4.180893950117332,22.76625367213365,21.66730378855375,19.00185746816419,18.99999981925915,0.15155740569175327
61,0.3512179637821111,0.1346189137294645,2.3800752556584697,1.304234472002026,4.1701466051720715,22.87899749402271,21.4602769347975,19.00185305516246,18.99999981926733,0.15116781443748759
62,0.35377267964089953,0.3607984084115986,2.415678041721138,1.313397619731971,4.443646749505607,22.93145247539807,21.65602165851627,19.00185666248226,18.99999981935823,0.16108219466957824
63,0.35195315150448353,0.186833205449284,2.462349565419653,1.325401765785693,4.326537688159114,22.91656471217621,21.50730893343618,19.00179219393359,18.99999981952669,0.15683699119576786
64,0.40420736486251174,0.37212847840664565,2.5193805051068763,1.33926329240168,4.634979640777713,22.96343121335751,21.63728593528439,19.00173588149789,18.99999981983618,0.16801801197819208
65,0.4058908054022326,0.30479962319537957,2.5585312483967493,1.2936593699139851,4.5628810469083465,22.98298603148149,21.62652243628895,19.00166958473997,18.99999982043345,0.16540443795042756
66,0.42506146966001884,0.3624199256567856,2.615980458871003,1.307431178974678,4.710893033162486,22.98678005388038,21.65463096859631,19.001443892986,18.99999982167946,0.1707698724521401
67,0.4506646716203708,0.4177322058824326,2.684656169941055,1.324173119191266,4.877226166635125,22.99042208973335,21.75309802282232,19.00128296889828,18.99999982479862,0.17679944854052326
68,0.475398414603252,0.4162934474592842,2.7604482751555652,1.34229183554605,4.9944319727641515,22.99078972779643,21.77972523005433,19.00115372499996,18.99999983788808,0.1810481590127005
69,1.549479725352467,1.461643984317134,4.494929274336213,7.192612211437078,14.698665195442892,22.99179703243042,21.82546476587464,19.00108268045689,21.78565774847378,0.8635465802322698
70,1.636716386678745,1.557683143601143,5.517031599733932,2.241527295708787,10.952958425722608,22.93331362410666,21.8190151513056,19.00084683780378,19.17471709254527,0.6434863075112032
71,1.6975481868722149,1.533682236123278,6.047244422877887,4.02666714228089,13.305141988154269,22.9043612831506,21.67466170421975,19.00070504278627,19.40053812026782,0.7816770918040632
72,1.770180984496958,1.729588968280906,6.340313682894453,0.8674086301311906,10.70749226580351,22.95987498634767,21.86583364596505,19.00061094282179,19.01460886442656,0.6290651706159561
73,0.615878833247314,0.3041430889932446,4.735008904252642,1.297559445227736,6.952590271720937,22.83692401608976,21.3307217455031,19.00051467535748,19.00083195147165,0.408464678463605
74,0.46582592211069446,0.35369919834828223,3.8497494336338893,1.0446978958757211,5.713972449968587,22.86715809561592,21.34520944720562,19.00045548623372,19.00003785413401,0.3356958814356545
75,0.7840789942117391,0.8563800440986952,3.450561874944185,1.129447750027673,6.220468663282292,22.86867147165693,21.41368559847244,19.00036415526839,19.00000167393799,0.3654525339678346
76,0.5089821858748015,0.7712074108603726,3.3145926988088674,1.1567735546627809,5.751555850206822,22.91722600267585,21.23019735665003,19.0003893226785,18.99999990793167,0.33790390619965077
77,0.1722934314608237,0.1580923457157601,3.3197389062691833,1.25024426599394,4.900368949439707,22.33902492532402,20.93464495270277,19.00037497270289,18.99999982047405,0.2878966757795828
