k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
40,0.6689210957164284,0.5417641527747371,6.9250498279277855,3.387292165443185,11.523027241862136,20.99997869271661,19.99998184073351,21.0000025278561,20.99999999999999,0.6769778504594005
41,0.5362372787812432,0.41776444560036075,6.626653872729627,3.3246668214687087,10.90532241857994,21.00002647977988,20.00001995523662,21.00000393673907,21.0,0.3953179376735228
42,0.520637634027332,0.41005177858854197,6.368903913669829,3.2670027742344168,10.566596100520119,21.00002375350546,20.00001895961502,21.00000365001581,21.0,0.38303910864385426
43,0.5902658326443874,0.48379637428311456,6.13883976772156,3.214015429177394,10.426917403826456,21.00000995905762,20.00000867294953,21.00000293448727,21.0,0.377975755888709
44,0.5436662439808968,0.4420436908834085,5.92782145494506,3.1648734053785303,10.078404795187895,21.00004731151026,20.00003967545373,21.00000252106027,21.0,0.36534217382556117
45,0.4638479263126024,0.3691153286199142,5.710619998355283,3.084538826190453,9.628122079478253,21.00007168857688,20.00005986734162,21.00000231959549,21.0,0.34901942538108666
46,0.4168371959014958,0.3314406026964975,5.499452703109118,3.0244841985254896,9.272214700232603,21.00005770628869,20.00004961087278,21.00000194922044,21.0,0.3361177828834318
47,0.37805281743960806,0.2955478558569378,5.307919744978712,2.971724618928965,8.953245037204223,21.00003097183551,20.00002682171537,21.00000188640923,21.0,0.32455513259865304
48,0.3628684507343822,0.27891154519348615,5.136480883336719,2.922832714387012,8.7010935936516,21.00000727196615,20.00000730034306,21.00000212459665,21.0,0.31541464276987047
49,0.334926279479995,0.25219947277237487,4.956157891494177,2.8380526394033367,8.381336283149885,20.99999452222497,19.99999746443178,21.00000240810977,21.0,0.3038234402641833
50,0.3083535136015053,0.2242073493090816,4.78281755968866,2.7744013710186484,8.089779793617895,20.99999045321631,19.99999465727474,21.00000208171846,21.0,0.29325451751864867
51,0.28159479633063833,0.19701903249247682,4.617270250738784,2.715360523535659,7.811244603097558,20.99999023988983,19.99999467554249,21.0000015923734,21.0,0.28315761686228647
